node_id,x_coord,y_coord
1,116.52432,39.80161
2,116.524145,39.801501
3,116.518527,39.798893
4,116.518399,39.798837
5,116.529632,39.765199
6,116.526789,39.768694
7,116.500561,39.807645
8,116.502211,39.805546
9,116.502913,39.804583
10,116.503697,39.803658
11,116.505544,39.801385
12,116.508115,39.798184
13,116.510609,39.795093
14,116.493614,39.804556
15,116.492548,39.805887
16,116.491705,39.80694
17,116.490913,39.80793
18,116.473389,39.800728
19,116.47361,39.800808
20,116.48108,39.789528
21,116.486413,39.783544
22,116.486588,39.783342
23,116.527958,39.786121
24,116.52814,39.78594
25,116.531444,39.78268
26,116.536704,39.778634
27,116.540376,39.77538
28,116.540482,39.775276
29,116.54342,39.771826
30,116.546686,39.768044
31,116.546902,39.767806
32,116.49997,39.780242
33,116.500109,39.780217
34,116.503404,39.779544
35,116.506622,39.780212
36,116.520824,39.782677
37,116.523832,39.779015
38,116.513834,39.779888
39,116.513717,39.779938
40,116.513379,39.779324
41,116.513033,39.777649
42,116.512456,39.776225
43,116.511043,39.772854
44,116.511288,39.772716
45,116.514562,39.771284
46,116.521587,39.766276
47,116.521788,39.766152
48,116.536878,39.763168
49,116.537077,39.763307
50,116.541922,39.766421
51,116.518228,39.769023
52,116.518309,39.769084
53,116.519849,39.770269
54,116.521122,39.771235
55,116.523348,39.772888
56,116.524976,39.774146
57,116.525911,39.774869
58,116.52604,39.774911
59,116.531683,39.776188
60,116.533169,39.776882
61,116.536821,39.778698
62,116.537822,39.762305
63,116.538587,39.761519
64,116.536778,39.763245
65,116.538704,39.761395
66,116.539151,39.760873
67,116.5393,39.760692
68,116.503912,39.79156
69,116.505598,39.789502
70,116.506357,39.788574
71,116.498096,39.784564
72,116.493728,39.782431
73,116.492067,39.781624
74,116.48939,39.780362
75,116.489291,39.78032
76,116.496161,39.779253
77,116.504178,39.783246
78,116.486682,39.783239
79,116.486813,39.783296
80,116.491273,39.785452
81,116.508636,39.777142
82,116.509947,39.776826
83,116.512345,39.776251
84,116.516233,39.77526
85,116.515348,39.773044
86,116.514653,39.771435
87,116.51462,39.771359
88,116.517401,39.775853
89,116.519098,39.773747
90,116.522704,39.76929
91,116.524201,39.767451
92,116.521814,39.766298
93,116.521952,39.766365
94,116.546843,39.768106
95,116.544356,39.767331
96,116.543634,39.767031
97,116.543386,39.766962
98,116.54185,39.766508
99,116.552688,39.770634
100,116.554831,39.771515
101,116.543529,39.771878
102,116.538432,39.769423
103,116.53571,39.768073
104,116.533451,39.766981
105,116.533349,39.766923
106,116.528699,39.763741
107,116.534185,39.769923
108,116.538601,39.76454
